ISIN,COMPANY,NSE_SYMBOL,BSE_SYMBOL,BSE_CODE,EXCHANGE,PRICE_SOURCE,PRICE_TICKER,LATEST_PRICE,PRICE_DATE,NSE_LISTING_DATE,BSE_LISTING_DATE
INE686Y01026,Fine Organic Industries Limited,FINEORG,FINEORG#,141557,NSE+BSE,NSE/Yahoo Finance,FINEORG.NS,,,02-JUL-2018,
INE045J01034,Fineotex Chemical Limited,FCL,FCL,533333,NSE+BSE,NSE/Yahoo Finance,FCL.NS,,,15-JAN-2015,
INE734I01027,Finkurve Financial Services Limited,FINKURVE,FINKURVE,508954,NSE+BSE,NSE/Yahoo Finance,FINKURVE.NS,,,01-OCT-2025,
INE02NC01014,Fino Payments Bank Limited,FINOPB,FINOPB,543386,NSE+BSE,NSE/Yahoo Finance,FINOPB.NS,,,12-NOV-2021,
INE235A01022,Finolex Cables Limited,FINCABLES,FINCABLES#,100144,NSE+BSE,NSE/Yahoo Finance,FINCABLES.NS,,,15-FEB-1995,
INE183A01024,Finolex Industries Limited,FINPIPE,FINPIPE#,100940,NSE+BSE,NSE/Yahoo Finance,FINPIPE.NS,,,08-FEB-1995,
INE684F01012,Firstsource Solutions Limited,FSL,FSL#,132809,NSE+BSE,NSE/Yahoo Finance,FSL.NS,,,22-FEB-2007,
INE771F01041,Fischer Medical Ventures Limited,FISCHER,FISCHER,524743,NSE+BSE,NSE/Yahoo Finance,FISCHER.NS,,,10-JUL-2025,
INE128S01021,Five-Star Business Finance Limited,FIVESTAR,FIVESTAR#,143663,NSE+BSE,NSE/Yahoo Finance,FIVESTAR.NS,,,21-NOV-2022,
INE00Y201027,Flair Writing Industries Limited,FLAIR,FLAIR,544030,NSE+BSE,NSE/Yahoo Finance,FLAIR.NS,,,01-DEC-2023,
INE060J01017,Flexituff Ventures International Limited,FLEXITUFF,FLEXITUFF,533638,NSE+BSE,NSE/Yahoo Finance,FLEXITUFF.NS,,,19-OCT-2011,
INE593W01028,Focus Lighting and Fixtures Limited,FOCUS,FOCUS$,210685,NSE+BSE,NSE/Yahoo Finance,FOCUS.NS,,,24-NOV-2021,
INE976E01023,Foods & Inns Limited,FOODSIN,FOODSIN,507552,NSE+BSE,NSE/Yahoo Finance,FOODSIN.NS,,,16-NOV-2021,
INE061F01013,Fortis Healthcare Limited,FORTIS,FORTIS#,132843,NSE+BSE,NSE/Yahoo Finance,FORTIS.NS,,,09-MAY-2007,
INE519A01011,Foseco India Limited,FOSECOIND,FOSECOIND,500150,NSE+BSE,NSE/Yahoo Finance,FOSECOIND.NS,,,05-MAY-2003,
INE212S01015,Fractal Analytics Limited,FRACTAL,FRACTAL,544700,NSE+BSE,NSE/Yahoo Finance,FRACTAL.NS,,,16-FEB-2026,
INE572D01014,Frontier Springs Limited,FRONTSP,FRONTSP,522195,NSE+BSE,NSE/Yahoo Finance,FRONTSP.NS,,,20-APR-2026,
INE12UR01024,Fujiyama Power Systems Limited,UTLSOLAR,UTLSOLAR,544613,NSE+BSE,NSE/Yahoo Finance,UTLSOLAR.NS,,,20-NOV-2025,
INE139R01012,Fusion Finance Limited,FUSION,FUSION,543652,NSE+BSE,NSE/Yahoo Finance,FUSION.NS,,,15-NOV-2022,
IN9623B01058,Future Enterprises Limited,FELDVR,FELDVR,570002,NSE+BSE,NSE/Yahoo Finance,FELDVR.NS,,,13-FEB-2009,
INE623B01027,Future Enterprises Limited,FEL,FEL,523574,NSE+BSE,NSE/Yahoo Finance,FEL.NS,,,05-NOV-2001,
INE452O01016,Future Lifestyle Fashions Limited,FLFL,FLFL,536507,NSE+BSE,NSE/Yahoo Finance,FLFL.NS,,,01-OCT-2013,
INE360L01017,Future Market Networks Limited,FMNL,FMNL,533296,NSE+BSE,NSE/Yahoo Finance,FMNL.NS,,,31-DEC-2010,
INE201P01022,G R Infraprojects Limited,GRINFRA,GRINFRA#,143317,NSE+BSE,NSE/Yahoo Finance,GRINFRA.NS,,,19-JUL-2021,
